ratingKey,title,addedAt,duration,durationHuman,guid,playlistType,smart,summary,type,items.addedAt,items.audienceRating,items.audienceRatingImage,items.contentRating,items.duration,items.durationHuman,items.editionTitle,items.episodeNumber,items.grandparentGuid,items.grandparentRatingKey,items.grandparentTitle,items.guid,items.hasCommercialMarker,items.hasCreditsMarker,items.hasIntroMarker,items.locations,items.originalTitle,items.originallyAvailableAt,items.parentGuid,items.parentRatingKey,items.parentTitle,items.parentYear,items.rating,items.ratingImage,items.ratingKey,items.seasonEpisode,items.seasonNumber,items.studio,items.summary,items.tagline,items.title,items.titleSort,items.type,items.userRating,items.year,items.media.aspectRatio,items.media.audioChannels,items.media.audioCodec,items.media.audioProfile,items.media.bitrate,items.media.container,items.media.duration,items.media.hdr,items.media.height,items.media.isOptimizedVersion,items.media.videoCodec,items.media.videoFrameRate,items.media.videoProfile,items.media.videoResolution,items.media.width
37496,SuperGrit77,2025-05-23T18:18:56,6157503000,71 days 6 hrs 25 mins,com.plexapp.agents.none://b4475e12-ed92-4ae1-a416-ade24b4e117d,video,False,,playlist,2024-03-05T09:16:55,7.9,rottentomatoes://image.rating.upright,PG-13,8073194,2 hrs 15 mins,,,,,,plex://movie/5d776b05fb0d55001f559234,,False,,/volume1/PLEX_MEDIA/Genres/Superhero/MARVEL/Marvel Cinematic Universe/Black Panther.mp4,,2018-02-13,,,,,9.6,rottentomatoes://image.rating.ripe,8079,,,Marvel Studios,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Long live the king.,Black Panther,Black Panther,movie,,2018,2.35,2,aac,lc,1198,mp4,8073194,False,534,False,h264,24p,high,720,1280
,,,,,,,,,,2024-03-05T09:17:05,9.4,rottentomatoes://image.rating.upright,PG-13,8874272,2 hrs 28 mins,,,,,,plex://movie/5d77702e6afb3d0020613fd1,,False,,/volume1/PLEX_MEDIA/Genres/Superhero/MARVEL/Marvel Cinematic Universe/Black Panther Wakanda Forever 2022 1080p HDTS x264 1.7GB - HushRips/Black Panther Wakanda Forever 2022 1080p HDTS x264 1.7GB - HushRips.mkv,,2022-11-09,,,,,8.3,rottentomatoes://image.rating.ripe,8399,,,Marvel Studios,"In ""Black Panther: Wakanda Forever,"" the residents of Wakanda face the difficult task of moving forward after King T'Challa's death. They must defend their nation against external global pressures. Queen Ramonda and Princess Shuri step up to lead, with Shuri working to recreate the heart-shaped herb to save T'Challa's life. After a year, a new challenge emerges with King Namor, a mutant ruler of an underwater kingdom, who aims to defend Talokan against the surface world. As a conflict looms, key characters including War Dog Nakia and Everett Ross unite to establish a future direction for Wakanda.",Forever.,Black Panther: Wakanda Forever,Black Panther: Wakanda Forever,movie,,2022,1.78,2,aac,lc,1704,mkv,8874272,False,1080,False,h264,PAL,main,1080,1920
,,,,,,,,,,2024-03-05T09:16:55,9.1,rottentomatoes://image.rating.upright,PG-13,8026826,2 hrs 14 mins,,,,,,plex://movie/5d776d9847dd6e001f6f4847,,False,,/volume1/PLEX_MEDIA/Genres/Superhero/MARVEL/Marvel Cinematic Universe/Black.Widow.2021.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,,2021-07-07,,,,,7.9,rottentomatoes://image.rating.ripe,8080,,,Marvel Studios,"In Marvel Studios' action-packed spy thriller ""Black Widow,"" Natasha Romanoff aka Black Widow confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",Her world. Her secrets. Her legacy.,Black Widow,Black Widow,movie,,2021,2.35,6,aac,lc,2634,mp4,8026826,False,800,False,h264,24p,high,1080,1920
,,,,,,,,,,2024-03-05T09:17:05,7.8,rottentomatoes://image.rating.upright,R,7216661,2 hrs,,,,,,plex://movie/5d77686954c0f0001f30806a,,False,,/volume1/PLEX_MEDIA/Genres/Superhero/MARVEL/Blade/Blade (1998).mp4,,1998-08-21,,,,,5.9,rottentomatoes://image.rating.rotten,8400,,,New Line Cinema,"In a world where vampires walk the earth, Blade has a goal. His goal is to rid the world of all vampire evil. When Blade witnesses a vampire bite Dr. Karen Jenson, he fights away the beast and takes Jenson back to his hideout. Here, alongside Abraham Whistler, Blade attempts to help heal Jenson. The vampire Quinn who was attacked by Blade, reports back to his master Deacon Frost, who is planning a huge surprise for the human population.","Against an army of Immortals, one warrior must draw first blood.",Blade,Blade,movie,,1998,2.35,2,aac,lc,2274,mp4,7216661,False,800,False,h264,24p,high,1080,1920
,,,,,,,,,,2024-03-05T09:17:06,6.8,rottentomatoes://image.rating.upright,R,7010005,1 hr 57 mins,,,,,,plex://movie/5d776868eb5d26001f1ea0ae,,False,,/volume1/PLEX_MEDIA/Genres/Superhero/MARVEL/Blade/Blade II (2002).mkv,,2002-03-22,,,,,5.7,rottentomatoes://image.rating.rotten,8401,,,New Line Cinema,"A rare mutation has occurred within the vampire community - The Reaper. A vampire so consumed with an insatiable bloodlust that they prey on vampires as well as humans, transforming victims who are unlucky enough to survive into Reapers themselves. Blade is asked by the Vampire Nation for his help in preventing a nightmare plague that would wipe out both humans and vampires.",Faster. Sharper. Deadlier.,Blade II,Blade II,movie,,2002,1.78,2,aac,he-aac,596,mkv,7010005,False,544,False,h264,24p,high,480,960
,,,,,,,,,,2024-03-05T09:17:06,5.8,rottentomatoes://image.rating.spilled,R,7341843,2 hrs 2 mins,,,,,,plex://movie/5d77686954c0f0001f30806e,,False,,/volume1/PLEX_MEDIA/Genres/Superhero/MARVEL/Blade/Blade.Trinity.2004.1080p.BluRay.x265-RARBG.mp4,,2004-12-08,,,,,2.4,rottentomatoes://image.rating.rotten,8402,,,Marvel Enterprises,"Blade, now a wanted man by the FBI, must join forces with the Nightstalkers to face his most challenging enemy yet: Dracula.",The final hunt begins.,Blade: Trinity,Blade: Trinity,movie,,2004,2.35,6,aac,lc,2225,mp4,7341843,False,814,False,hevc,24p,main 10,1080,1916
,,,,,,,,,,2024-03-05T09:16:55,8.9,rottentomatoes://image.rating.upright,PG-13,8862058,2 hrs 28 mins,,,,,,plex://movie/5d776adcfb0d55001f553b34,,False,,/volume1/PLEX_MEDIA/Genres/Superhero/MARVEL/Marvel Cinematic Universe/Captain America - Civil War.mp4,,2016-04-27,,,,,9.1,rottentomatoes://image.rating.ripe,8081,,,Marvel Studios,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",United we stand. Divided we fall.,Captain America: Civil War,Captain America: Civil War,movie,,2016,2.35,2,aac,lc,1579,mp4,8862058,False,536,False,h264,24p,main,720,1280
,,,,,,,,,,2024-03-05T09:16:56,7.5,rottentomatoes://image.rating.upright,PG-13,7451733,2 hrs 4 mins,,,,,,plex://movie/5d77682a103a2d001f564ffb,,False,,/volume1/PLEX_MEDIA/Genres/Superhero/MARVEL/Marvel Cinematic Universe/Captain America - The First Avenger.mp4,,2011-07-22,,,,,8.0,rottentomatoes://image.rating.ripe,8123,,,Marvel Studios,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organization.",When patriots become heroes,Captain America: The First Avenger,Captain America: The First Avenger,movie,,2011,2.35,2,aac,he-aac,849,mp4,7451733,False,544,False,h264,24p,high,720,1280
,,,,,,,,,,2024-03-05T09:16:57,9.2,rottentomatoes://image.rating.upright,PG-13,8154261,2 hrs 16 mins,,,,,,plex://movie/5d77690896b655001fdc8aca,,False,,/volume1/PLEX_MEDIA/Genres/Superhero/MARVEL/Marvel Cinematic Universe/Captain America - Winter Solider.mp4,,2014-03-26,,,,,9.0,rottentomatoes://image.rating.ripe,8153,,,Marvel Studios,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",In heroes we trust.,Captain America: The Winter Soldier,Captain America: The Winter Soldier,movie,,2014,2.35,2,aac,lc,954,mp4,8154261,False,536,False,h264,24p,high,720,1280
,,,,,,,,,,2024-03-05T09:16:48,9.0,rottentomatoes://image.rating.upright,R,6486281,1 hr 48 mins,,,,,,plex://movie/5d776b257a53e9001e71bb98,,False,,/volume1/PLEX_MEDIA/Genres/Superhero/MARVEL/Deadpool (2016).mp4,,2016-02-09,,,,,8.5,rottentomatoes://image.rating.ripe,7902,,,20th Century Fox,"This is the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",Feel the love.,Deadpool,Deadpool,movie,,2016,2.35,2,aac,lc,2176,mp4,6486281,False,800,False,h264,24p,high,1080,1920
