ratingKey,title,addedAt,duration,durationHuman,guid,playlistType,smart,summary,type,items.addedAt,items.audienceRating,items.audienceRatingImage,items.contentRating,items.duration,items.durationHuman,items.editionTitle,items.episodeNumber,items.grandparentGuid,items.grandparentRatingKey,items.grandparentTitle,items.guid,items.hasCommercialMarker,items.hasCreditsMarker,items.hasIntroMarker,items.locations,items.originalTitle,items.originallyAvailableAt,items.parentGuid,items.parentRatingKey,items.parentTitle,items.parentYear,items.rating,items.ratingImage,items.ratingKey,items.seasonEpisode,items.seasonNumber,items.studio,items.summary,items.tagline,items.title,items.titleSort,items.type,items.userRating,items.year,items.media.aspectRatio,items.media.audioChannels,items.media.audioCodec,items.media.audioProfile,items.media.bitrate,items.media.container,items.media.duration,items.media.hdr,items.media.height,items.media.isOptimizedVersion,items.media.videoCodec,items.media.videoFrameRate,items.media.videoProfile,items.media.videoResolution,items.media.width
37497,DragonLOL69,2025-05-23T19:01:44,5341855000,61 days 19 hrs 51 mins,com.plexapp.agents.none://670c70ee-c747-433c-934d-877cbd42a356,video,FALSE,,playlist,2024-03-05T09:20:03,8.4,rottentomatoes://image.rating.upright,R,7947586,2 hrs 12 mins,,,,,,plex://movie/5d7768313c3c2a001fbcd1cf,,FALSE,,/volume1/PLEX_MEDIA/Genres/Comedy/The 40 Year Old Virgin (2005).mp4,,8/18/2005,,,,,8.5,rottentomatoes://image.rating.ripe,10636,,,Universal Pictures,"Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40, there's one thing Andy hasn't done, and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid, the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish, a single mom.",Better late than never.,The 40-Year-Old Virgin,40-Year-Old Virgin,movie,,2005,1.85,2,aac,lc,842,mp4,7947586,FALSE,688,FALSE,h264,24p,high,720,1280
,,,,,,,,,,2024-03-05T09:19:30,8.9,rottentomatoes://image.rating.upright,PG,5262132,1 hr 28 mins,,,,,,plex://movie/5d776827eb5d26001f1ddabb,,FALSE,,/volume1/PLEX_MEDIA/Genres/Comedy/Airplane! (1980).mp4,,7/2/1980,,,,,9.7,rottentomatoes://image.rating.ripe,10304,,,Paramount,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must safely land a commercial airplane full of passengers.","What's slower than a speeding bullet, and able to hit tall buildings at a single bound?",Airplane!,Airplane! 1,movie,,1980,1.78,2,aac,lc,2446,mp4,5262132,FALSE,1072,FALSE,h264,24p,high,1080,1920
,,,,,,,,,,2024-03-05T09:19:31,8.6,rottentomatoes://image.rating.upright,PG-13,6560170,1 hr 49 mins,,,,,,plex://movie/5d7768322ec6b5001f6bb5cc,,FALSE,,/volume1/PLEX_MEDIA/Genres/Comedy/Anchoman The Legend of Ron Burgundy (2004).mp4,,6/9/2004,,,,,6.6,rottentomatoes://image.rating.ripe,10305,,,DreamWorks Pictures,"In the 1970s, an anchorman's stint as San Diego's top-rated newsreader is challenged when an ambitious newswoman becomes his co-anchor.",They bring you the news so you don't have to get it yourself.,Anchorman: The Legend of Ron Burgundy,Anchorman,movie,,2004,1.78,2,aac,lc,1963,mp4,6560170,FALSE,1078,FALSE,h264,24p,high,1080,1920
,,,,,,,,,,2024-03-05T09:19:31,5.2,rottentomatoes://image.rating.spilled,PG-13,7385237,2 hrs 3 mins,,,,,,plex://movie/5d776926594b2b001e69e4fa,,FALSE,,/volume1/PLEX_MEDIA/Genres/Comedy/Anchorman 2 The Legend Continues (2013).mp4,,12/18/2013,,,,,7.5,rottentomatoes://image.rating.ripe,10306,,,Gary Sanchez Productions,"With the 1970s behind him, Ron Burgundy, San Diego's former top-rated newsreader, returns to take New York City's first twenty-four-hour news channel by storm.",Bigger. Better. Burgundy-er.,Anchorman 2: The Legend Continues,Anchorman 2,movie,,2013,2.35,2,aac,lc,2140,mp4,7385237,FALSE,800,FALSE,h264,24p,high,1080,1920
,,,,,,,,,,2024-03-05T09:20:13,8,rottentomatoes://image.rating.upright,PG-13,5352473,1 hr 29 mins,,,,,,plex://movie/5d776833eb5d26001f1e00e5,,FALSE,,/volume1/PLEX_MEDIA/Genres/Comedy/Zoolander (2001).mp4,,9/28/2001,,,,,6.5,rottentomatoes://image.rating.ripe,10707,,,Paramount,"Clear the runway for Derek Zoolander, VH1's three-time male model of the year. His face falls when hippie-chic Hansel scooters in to steal this year's award. The evil fashion guru Mugatu seizes the opportunity to turn Derek into a killing machine. It's a well-designed conspiracy and only with the help of Hansel and a few well-chosen accessories like Matilda can Derek make the world safe for male models everywhere.",3% body fat. 1% brain activity.,Zoolander,Zoolander,movie,,2001,2.35,2,aac,lc,2164,mp4,5352473,FALSE,816,FALSE,h264,24p,high,1080,1920
,,,,,,,,,,2024-03-05T09:20:13,9.2,rottentomatoes://image.rating.upright,PG,6341084,1 hr 46 mins,,,,,,plex://movie/5d776d1796b655001fe3f5bc,,FALSE,,/volume1/PLEX_MEDIA/Genres/Comedy/Young Frankenstein (1974).mp4,,12/15/1974,,,,,9.4,rottentomatoes://image.rating.ripe,10706,,,Crossbow Productions,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",The scariest comedy of all time!,Young Frankenstein,Young Frankenstein,movie,,1974,1.85,2,aac,lc,2158,mp4,6341084,FALSE,1024,FALSE,h264,24p,high,1080,1920
,,,,,,,,,,2024-03-05T09:20:13,5.6,rottentomatoes://image.rating.spilled,PG-13,5154779,1 hr 26 mins,,,,,,plex://movie/5d9f34f79dd5f4001e8428d8,,FALSE,,/volume1/PLEX_MEDIA/Genres/Comedy/Wrongfully.Accused.1998.1080p.WEB-DL.AAC2.0.H264-iND.mkv,,7/23/1998,,,,,1.8,rottentomatoes://image.rating.rotten,10694,,,Morgan Creek Entertainment,"Ryan Harrison is framed for murder and must prove himself innocent by finding a mysterious one-eyed, one-armed, one-legged man after escaping from a bus accident on the way to jail.",It's not just a movie. It's every movie.,Wrongfully Accused,Wrongfully Accused,movie,,1998,1.78,2,aac,lc,5447,mkv,5154779,FALSE,1076,FALSE,h264,24p,main,1080,1916
,,,,,,,,,,2024-03-05T09:20:07,7.2,rottentomatoes://image.rating.upright,R,6547605,1 hr 49 mins,,,,,,plex://movie/5d77692151dd69001fe15172,,FALSE,,/volume1/PLEX_MEDIA/Genres/Comedy/The World's End (2013).mp4,,7/18/2013,,,,,8.9,rottentomatoes://image.rating.ripe,10660,,,Big Talk Studios,Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.,Good food. Fine ales. Total Annihilation.,The World's End,World's End,movie,,2013,2.35,2,aac,lc,2145,mp4,6547605,FALSE,816,FALSE,h264,24p,high,1080,1920
,,,,,,,,,,2024-03-05T09:17:52,8.1,rottentomatoes://image.rating.upright,TV-14,6286447,1 hr 45 mins,,,,,,plex://movie/5d776d10594b2b001e700571,,FALSE,,/volume1/PLEX_MEDIA/Genres/Jackie Chan/[1984]Wheels on Meals.avi,å¿«é¤è»Š,8/17/1984,,,,,,,9200,,,Paragon Films Ltd.,"Two Chinese friends, who operate a food truck in Barcelona, Spain, use their martial arts expertise to help their private investigator friend protect the pickpocket Sylvia, who's been targeted by a ruthless gang.",Not since Don Quixote has Spain had so much fun!,Wheels on Meals,Wheels on Meals,movie,,1984,1.85,2,mp3,,920,avi,6286447,FALSE,304,FALSE,msmpeg4v3,24p,,sd,576
,,,,,,,,,,,,,,,,,,,,,,,,,/volume1/PLEX_MEDIA/Genres/Jackie Chan/[1984]The Cannonball Run 2.avi,,,,,,,,,,,,,,,,,,,,1.33,2,mp3,,888,avi,6516672,FALSE,384,FALSE,mpeg4,PAL,advanced simple,sd,512
,,,,,,,,,,2024-03-05T09:20:12,8.7,rottentomatoes://image.rating.upright,R,5134129,1 hr 26 mins,,,,,,plex://movie/5d776a8b594b2b001e6bf335,,FALSE,,/volume1/PLEX_MEDIA/Genres/Comedy/What We Do In The Shadows (2014).mp4,,6/19/2014,,,,,9.6,rottentomatoes://image.rating.ripe,10692,,,Unison Films,"Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts.",Some interviews with some vampires,What We Do in the Shadows,What We Do in the Shadows,movie,,2014,1.78,6,aac,lc,2830,mp4,5134129,FALSE,1080,FALSE,h264,24p,high,1080,1920
,,,,,,,,,,2024-03-05T09:20:11,8.4,rottentomatoes://image.rating.upright,PG-13,5664768,1 hr 34 mins,,,,,,plex://movie/5d9f34f69dd5f4001e84272d,,FALSE,,/volume1/PLEX_MEDIA/Genres/Comedy/Wayne's World (1992).mp4,,2/14/1992,,,,,7.9,rottentomatoes://image.rating.ripe,10688,,,Paramount,Two slacker friends try to promote their public-access cable show.,You'll laugh. You'll cry. You'll hurl.,Wayne's World,Wayne's World,movie,,1992,1.78,2,aac,lc,1111,mp4,5664768,FALSE,720,FALSE,h264,24p,high,720,1280
